baseline_answer,baseline_faithful_1to5,baseline_helpful_1to5,baseline_latency_s,baseline_outcome_correct,ground_truth_points,ground_truth_winner,id,query,rag_answer,rag_faithful_1to5,rag_helpful_1to5,rag_latency_s,rag_outcome_correct,type
"You should have started **Justin Jefferson**.

Both are elite WR1s, but Jefferson typically commands an unparalleled target share and has demonstrated a slightly higher ceiling",3,4,3.55,True,"{""Justin Jefferson"": 15.2, ""CeeDee Lamb"": 11.4}",Justin Jefferson,ss_01,"In Week 5 of the 2024 season, should I have started Justin Jefferson or CeeDee Lamb?","In Week 5 of the 2024 season, you should have started Justin Jefferson.

Justin Jefferson scored 15.2 PPR fantasy points against NYJ [2], while CeeDee Lamb scored 11.4 PPR fantasy points against PIT [1].",5,5,8.39,True,start_sit
"As the 2024 NFL season has not yet occurred, it's impossible to know",2,1,3.29,False,"{""Bijan Robinson"": 23.6, ""Saquon Barkley"": 12.1}",Bijan Robinson,ss_02,"In Week 8 of the 2024 season, who was the better start at RB: Bijan Robinson or Saquon Barkley?","In Week 8 of the 2024 season, Bijan Robinson was the better start at RB.

Bijan Robinson scored 23.6 PPR fantasy points (Context [2]), while Saquon Barkley scored 12.1 PPR fantasy points (Context [1]).",5,5,2.6,True,start_sit
"Start **Josh Allen**. Both are elite options, but Allen generally offers a higher passing volume floor combined with his significant rushing upside, giving him a slightly higher ceiling most weeks.",3,3,2.69,,,,ss_03,"For Week 12 of the 2024 season, should I start Josh Allen or Lamar Jackson at quarterback?","Based on the provided context, Lamar Jackson scored 22.6 PPR fantasy points in Week 12, throwing for 177 yards and 2 touchdowns, and adding 15 rushing yards and 1 rushing touchdown [1].

The context does not contain any information regarding Josh Allen's performance in Week 12 of the 2024 season, so a direct comparison cannot be made.",5,3,3.22,,start_sit
"The 2024 NFL season has not happened yet, so we don't have Week 3 results for Amon-Ra St. Brown or A.J. Brown. It's impossible to say who will be the better start.",2,1,1.28,,,,ss_04,"In Week 3 of the 2024 season, was Amon-Ra St. Brown or A.J. Brown the better wide receiver start?","The provided context only contains information for Amon-Ra St. Brown in Week 3 of the 2024 season. It does not contain any information regarding A.J. Brown's performance in Week 3. Therefore, I cannot determine which player was the better start based on the given context.",5,2,2.65,,start_sit
You should have started **Christian McCaffrey**. He is a top-tier fantasy asset and a must-start whenever healthy.,3,4,2.08,True,"{""Christian McCaffrey"": 16.7, ""Jahmyr Gibbs"": 12.8}",Christian McCaffrey,ss_05,"For Week 10 of the 2024 season, should I have started Christian McCaffrey or Jahmyr Gibbs?","For Week 10 of the 2024 season, you should have started Christian McCaffrey. He scored 16.7 PPR fantasy points [1], while Jahmyr Gibbs scored 12.8 PPR fantasy points [2].",5,5,2.83,True,start_sit
"The 2024 NFL season has not happened yet, so we don't know who scored more fantasy points in Week 7.",2,1,1.1,False,"{""Travis Kelce"": 5.7, ""George Kittle"": 15.2}",George Kittle,ss_06,"In Week 7 of the 2024 season, who scored more fantasy points: Travis Kelce or George Kittle?","In Week 7 of the 2024 season, George Kittle scored more fantasy points than Travis Kelce. George Kittle scored 15.2 PPR fantasy points [2], while Travis Kelce scored 5.7 PPR fantasy points [1].",5,5,2.9,True,start_sit
Start Tyreek Hill. He consistently offers the highest weekly upside and floor among all wide receivers.,3,3,2.53,,,,ss_07,"For Week 6 of the 2024 season, should I start Tyreek Hill or Ja'Marr Chase?","The provided context only contains information for Ja'Marr Chase in Week 6. It does not contain any information regarding Tyreek Hill's performance in Week 6 of the 2024 season. Therefore, I cannot make a recommendation between the two players.",5,2,2.66,,start_sit
"As an AI, I don't have future knowledge of the 2024",2,1,3.49,False,"{""Jalen Hurts"": 24.22, ""Patrick Mahomes"": 14.1}",Jalen Hurts,ss_08,"In Week 14 of the 2024 season, was Jalen Hurts or Patrick Mahomes the better quarterback start?","In Week 14 of the 2024 season, Jalen Hurts was the better quarterback start.

Jalen Hurts scored 24.2 PPR fantasy points [1], while Patrick Mahomes scored 14.1 PPR fantasy points [2].",5,5,2.71,True,start_sit
"For Week 4 of the 2024 season, you should have started **Derrick Henry**.

Henry's touchdown upside and role in the Ravens' potent offense generally give him a higher ceiling than Josh Jacobs, even with Jacobs being the lead back in Green Bay.",3,4,3.49,True,"{""Derrick Henry"": 35.9, ""Josh Jacobs"": 11.8}",Derrick Henry,ss_09,"For Week 4 of the 2024 season, should I have started Derrick Henry or Josh Jacobs?","For Week 4 of the 2024 season, you should have started Derrick Henry.

Derrick Henry scored 35.9 PPR fantasy points (32.9 standard) against BUF in Week 4 [2]. In contrast, Josh Jacobs scored 11.8 PPR fantasy points (7.8 standard) against MIN in Week 4 [1].",5,5,2.98,True,start_sit
"Start **Puka Nacua**.

Nacua offers a higher floor due to his consistent",2,1,3.3,False,"{""Puka Nacua"": 2.1, ""Garrett Wilson"": 30.0}",Garrett Wilson,ss_10,"In Week 9 of the 2024 season, who was the better start: Puka Nacua or Garrett Wilson?","In Week 9 of the 2024 season, Garrett Wilson was the better start.

Garrett Wilson scored 30.0 PPR fantasy points [2], while Puka Nacua scored 2.1 PPR fantasy points [1].",5,5,2.92,True,start_sit
Start **Nico Collins**. He has a higher ceiling in the Texans' explosive passing game with C.J. Stroud.,2,1,3.07,False,"{""Nico Collins"": 9.4, ""DK Metcalf"": 14.0}",DK Metcalf,ss_11,"For Week 11 of the 2024 season, should I start Nico Collins or DK Metcalf?","For Week 11, you should start **DK Metcalf**.

DK Metcalf scored 14.0 PPR fantasy points in Week 11 [2], while Nico Collins scored 9.4 PPR fantasy points in Week 11 [1].",5,5,2.67,True,start_sit
"Start **Kyren Williams** in Week 2. He projects for a higher volume role in a potent Rams offense, offering a safer floor and higher ceiling than Alvin Kamara.",2,1,2.33,True,"{""Kyren Williams"": 15.2, ""Alvin Kamara"": 44.0}",Alvin Kamara,ss_12,"In Week 2 of the 2024 season, was Kyren Williams or Alvin Kamara the better running back start?","In Week 2 of the 2024 season, Alvin Kamara was the better running back start. He scored 44.0 PPR fantasy points, while Kyren Williams scored 15.2 PPR fantasy points (Context [1], Context [2]).",5,5,3.14,True,start_sit
"For Week 13, you should have started **Trey McBride**.

McBride is an established TE1 with a proven rapport with Kyler Murray and a high target share in the Cardinals' offense. While Brock Bowers is a talented rookie, rookie tight ends often take time to develop, and McBride offers a higher floor and more consistent production.",2,1,3.16,True,"{""Brock Bowers"": 30.2, ""Trey McBride"": 21.6}",Brock Bowers,ss_13,"For Week 13 of the 2024 season, should I have started Brock Bowers or Trey McBride at tight end?","For Week 13 of the 2024 season, you should have started **Brock Bowers**.

Brock Bowers scored 30.2 PPR fantasy points [1], while Trey McBride scored 21.6 PPR fantasy points [2].",5,5,2.84,True,start_sit
I project **Breece Hall** to score more fantasy points than De'Von Achane in,2,2,3.25,,,,ss_14,"In Week 1 of the 2024 season, who scored more: Breece Hall or De'Von Achane?","Based on the provided context, Breece Hall scored 18.3 PPR fantasy points in Week 1 of the 2024 NFL season [1]. The context does not contain any information about De'Von Achane's Week 1 score, so it is not possible to determine who scored more.",5,3,2.57,,start_sit
"Start Joe Burrow. He offers a higher floor and ceiling as a proven veteran in a high-powered offense compared to a rookie Jayden Daniels, especially in a crucial Week 15 matchup.",2,1,2.59,True,"{""Jayden Daniels"": 23.64, ""Joe Burrow"": 16.84}",Jayden Daniels,ss_15,"For Week 15 of the 2024 season, should I start Jayden Daniels or Joe Burrow?","For Week 15, you should start Jayden Daniels.

Jayden Daniels scored 23.6 PPR fantasy points in Week 15 [1], while Joe Burrow scored 16.8 PPR fantasy points [2]. Daniels also contributed 66 rushing yards, which Burrow did not [1, 2].",5,5,3.24,True,start_sit
If Malik Nabers has a **strong 2024 season** (e.,3,2,3.14,,,,draft_01,"Based on 2024 season production, is Malik Nabers a strong first-round fantasy draft pick for 2025? Explain the tradeoffs.","Based on the provided 2024 season production for Malik Nabers, there is **",5,3,4.24,,draft
"The 2024 NFL season has not started yet, so there are no 20",2,1,2.75,,,,draft_02,"Using 2024 season stats, who would you rank higher in a 2025 draft: Ja'Marr Chase or Justin Jefferson?","Based on the provided 2024 season stats, there is not enough information to definitively rank Ja",5,2,4.14,,draft
"The 2024 NFL season has not happened yet, so it's impossible to evaluate Bijan Robinson's performance or his worth for 2025 fantasy drafts based on it.

We will need to see how he performs in the upcoming 2024 season before making any recommendations for 2025 draft capital.",2,1,1.14,,,,draft_03,"Given how the 2024 season went, is Bijan Robinson worth a top-3 overall pick in 2025 fantasy drafts?",The provided context details Bijan Robinson's performance in 8 specific weeks of the 2,5,3,4.0,,draft
It's impossible to predict 2024 production before the season has even,2,1,3.23,,,,draft_04,"Based on 2024 production, which tight end should I target first in a 2025 draft: Brock Bowers or Trey McBride?","The provided context only contains information regarding Brock Bowers' 2024 production and does not include any statistics for Trey McBride. Therefore, I cannot compare the two players or recommend which tight end to target first based solely on the given information.",5,2,2.92,,draft
"The 2024 NFL season has not started yet, so there is no 2024 season data available for Jayden Daniels. Therefore, it's impossible to assess his reliability as a QB1 for 2025 based on the requested information.",2,1,2.06,,,,draft_05,"From 2024 season data, is Jayden Daniels a reliable QB1 to target in 2025 fantasy drafts?","Based on the provided 2024 season data, it is not possible to definitively determine if Jayden Daniels is a reliable QB1 to target in 2025 fantasy drafts.

While Daniels showed high upside in several games, scoring 25.1 PPR points in Week",5,4,4.33,,draft
